name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Carol Franco,"Carol Franco is a M.Tech graduate with 5.1 years of experience in software development. They are proficient in technologies such as Java, SQL, React, Python, HTML. Work Highlights: - Integrated third-party authentication providers (Google, Facebook) into a web application. - Implemented server-side logging with Log4j and centralized logging with Splunk.",M.Tech,Electronics,7.79,5.1,21,1
Lauren Moon,"Lauren Moon is a M.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as C++, Python, Java. Work Highlights: - Contributed to the development of a real-time analytics dashboard with Apache Flink. - Built a web crawler using Python and Scrapy to collect publicly available data.",M.Tech,Information Technology,6.79,3.7,28,0
Samuel Garcia,"Samuel Garcia is a BSc graduate with 0.8 years of experience in software development. They are proficient in technologies such as React, Python, Java, HTML. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Developed a browser extension with JavaScript to enhance user productivity.",BSc,Computer Science,7.02,0.8,22,0
Crystal Cruz,"Crystal Cruz is a BSc graduate with 5.0 years of experience in software development. They are proficient in technologies such as C++, HTML, Node.js. Work Highlights: - Implemented server-side logging with Log4j and centralized logging with Splunk. - Contributed to a large-scale Java Spring Boot application, focusing on API development and integration testing.",BSc,Electronics,7.99,5.0,27,0
Shawn Roberts,"Shawn Roberts is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as Django, Java, SQL. Work Highlights: - Developed a desktop application using Java Swing for inventory management. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",BSc,Information Technology,6.98,2.1,25,0
Kathleen Roberts,"Kathleen Roberts is a M.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as Django, JavaScript, Java, Node.js, HTML. Work Highlights: - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency. - Implemented message queues with RabbitMQ for asynchronous task processing.",M.Tech,Information Technology,8.69,3.1,22,1
Megan Simpson,"Megan Simpson is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as JavaScript, CSS, Java. Work Highlights: - Configured cloud firewalls and security groups to protect application endpoints. - Managed package dependencies and build processes with npm and Yarn.",BSc,Information Technology,8.8,2.1,35,1
Austin Gardner,"Austin Gardner is a MSc graduate with 3.5 years of experience in software development. They are proficient in technologies such as CSS, Django, Node.js, JavaScript. Work Highlights: - Built a real-time dashboard using Vue.js and WebSockets to display sensor data. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",MSc,Computer Science,7.57,3.5,21,0
Charles Foley,"Charles Foley is a BSc graduate with 3.0 years of experience in software development. They are proficient in technologies such as Django, C++, Python, Java, Node.js. Work Highlights: - Configured and managed virtual private clouds (VPCs) and subnets in AWS for network isolation. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",BSc,Computer Science,7.97,3.0,21,0
Tammy Reilly,"Tammy Reilly is a B.Tech graduate with 2.1 years of experience in software development. They are proficient in technologies such as CSS, Java, HTML, C++, JavaScript. Work Highlights: - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery. - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services.",B.Tech,Electronics,6.97,2.1,29,0
Suzanne Smith,"Suzanne Smith is a M.Tech graduate with 1.6 years of experience in software development. They are proficient in technologies such as SQL, Java, Python, CSS. Work Highlights: - Managed relational and NoSQL databases (Cassandra, Redis) in production environments. - Implemented end-to-end encryption for data at rest and in transit using TLS.",M.Tech,Computer Science,7.53,1.6,31,1
Thomas King,"Thomas King is a MSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as Java, SQL, Django, React. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Developed data validation and cleansing scripts in Python for a data migration project.",MSc,Electronics,8.36,1.3,24,0
Sarah Garza,"Sarah Garza is a M.Tech graduate with 5.5 years of experience in software development. They are proficient in technologies such as HTML, C++, React. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",M.Tech,Information Technology,9.75,5.5,26,0
Michael Bates,"Michael Bates is a BSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as Django, HTML, JavaScript, SQL, Node.js, CSS. Work Highlights: - Designed and developed a user role and permission management system for an enterprise application. - Performed security audits and penetration testing on web applications to identify vulnerabilities.",BSc,Computer Science,9.49,5.1,24,1
Thomas Daniels,"Thomas Daniels is a BSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as SQL, Django, Node.js, HTML, C++. Work Highlights: - Implemented robust data validation rules and sanitization for user input in a web form. - Built a web crawler using Python and Scrapy to collect publicly available data.",BSc,Computer Science,6.44,4.0,33,0
Dana Jackson,"Dana Jackson is a MSc graduate with 0.4 years of experience in software development. They are proficient in technologies such as Django, SQL, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Developed a desktop application using C# and WPF for internal tooling.",MSc,Information Technology,7.92,0.4,34,0
Kristy Simon,"Kristy Simon is a B.Tech graduate with 2.2 years of experience in software development. They are proficient in technologies such as Django, Node.js, CSS, Python, Java, HTML. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data.",B.Tech,Computer Science,9.05,2.2,31,1
Anthony Lang,"Anthony Lang is a M.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as Python, JavaScript, CSS. Work Highlights: - Built a Progressive Web App (PWA) with Service Workers for offline capabilities. - Managed and scaled Docker Swarm clusters for container orchestration.",M.Tech,Electronics,7.37,2.3,23,0
Gerald Mcdowell,"Gerald Mcdowell is a MSc graduate with 2.6 years of experience in software development. They are proficient in technologies such as CSS, Python, Java, Node.js. Work Highlights: - Designed and implemented a serverless function in AWS Lambda using Python for image processing. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",MSc,Computer Science,6.93,2.6,35,0
Hannah Cuevas,"Hannah Cuevas is a M.Tech graduate with 3.2 years of experience in software development. They are proficient in technologies such as SQL, HTML, Python, Java, React. Work Highlights: - Implemented robust data backup and recovery strategies for critical application data. - Optimized database connection pooling and transaction management in a Java application.",M.Tech,Electronics,9.6,3.2,29,1
